Suburb,Children,Yadult,Oadult,Old,lat,lon
Albury,9416,17143,18061,5623,-36.0804766,146.9162795
Armidale Dumaresq,4752,9351,8604,2636,-30.5146203,151.6667099
Ashfield,6845,17587,14996,4747,-33.8878817,151.1236642
Auburn,16401,36781,25395,4790,-33.849302,151.0328106
Ballina,7181,10215,17448,6491,-28.8634654,153.5619701
Balranald,427,657,1004,283,-34.640863,143.5657748
Bankstown,42274,68768,66813,19119,-33.9171897,151.0335881
Bathurst Regional,8271,14251,14576,3953,-33.42290415,149.579355115718
Bega Valley,5552,7337,15291,5133,-36.6780983,149.8408283
Bellingen,2471,2821,5735,1827,-30.4510473,152.8970754
Berrigan,1396,2003,3487,1479,-35.6565836,145.8093489
Blacktown,75141,122753,107923,19368,-33.7642133,150.9049061
Bland,1348,1557,2212,893,-34.0236111,147.63
Blayney,1659,1987,2829,855,-33.5327643,149.2552706
Blue Mountains,14972,21486,34279,8488,-34.0908358,150.172815379382
Bogan,678,862,1127,370,-32.0483333,147.4677778
Bombala,420,560,1080,341,-36.9113175,149.2389375
Boorowa,513,597,1099,349,-34.4385729,148.7188735
Botany Bay,7711,16274,15074,4233,-33.9817773,151.179489604425
Bourke,737,940,1092,227,-30.0914494,145.9429902
Brewarrina,522,566,714,138,-29.9569044,146.860591
Broken Hill,3392,5310,7560,2786,-31.9605303,141.4579038
Burwood,5120,15243,11274,3661,-33.8771304,151.1040344
Byron,5758,8519,14475,2860,-29.6816667,151.1011111
Cabonne,2949,3494,5555,1697,-33.2316697,148.8177747
Camden,14895,22514,21563,4276,-34.0532323,150.6961705
Campbelltown,32572,56912,55589,9465,-34.0636914,150.8206159
Canada Bay,14103,32584,29883,8336,-33.8644444,151.1147222
Canterbury,29203,54171,50903,14576,-33.915,151.1177778
Carrathool,537,810,1130,315,-34.4091469,145.4330301
Central Darling,449,620,846,155,-31.7638793,143.618396027889
Cessnock,11434,17767,20041,5071,-32.8333333,151.3561111
Clarence Valley,9118,12348,21769,7808,-28.8815792,152.5635791
Cobar,1154,1767,1653,450,-31.4983333,145.8344444
Coffs Harbour,13594,19940,29144,9120,-30.2962407,153.1135293
Conargo,361,418,642,122,-35.2983333,145.1677778
Coolamon,922,969,1713,672,-34.8163798,147.2009759
Cooma-Monaro,1869,2673,4211,1320,-36.2354029,149.12727975072
Coonamble,845,1282,1636,516,-30.958072,148.3872528
Cootamundra,1393,1747,3139,1346,-34.6394513,148.025723
Corowa Shire,2018,2802,4556,2034,-35.9880917,146.3648021
Cowra,2280,3182,5110,1979,-33.8349393,148.6925158
Deniliquin,1338,1970,2891,1177,-35.5302183,144.9597178
Dubbo,9041,13307,14493,4134,-32.2478964,148.6026502
Dungog,1628,2259,3887,1110,-32.4050241,151.7550117
Eurobodalla,6070,7547,16753,6864,-36.1483333,149.9677778
Fairfield,39790,71372,72809,17456,-33.8649983,150.9511109
Forbes,1971,2754,3641,1298,-33.384253,148.0096566
Gilgandra,897,1084,1793,714,-31.7114096,148.6674105
