Suburb,Rank
Goulburn,284
Yass,454
Young,152
Braidwood,287
Karabar,295
Queanbeyan,483
Jerrabomberra,495
Bombala,133
Cooma,313
Berridale,365
Batemans Bay,163
Tathra,153
Bega-Eden Hinterland,194
Tomakin,210
Wadbilliga,376
Eden,23
Eurobodalla Hinterland,184
Tura Beach,234
Tuross Head,131
Bermagui,116
Copacabana,432
MacMasters Beach,389
Kulnura,345
Green Point,348
Springfield,215
Kariong,353
Picketts Valley,265
Narara,318
Lisarow,368
Koolewong,338
Davistown,352
Terrigal Avoca,419
Patonga,122
Forresters Beach,424
Blackwall,100
Wyoming,202
Killarney Vale,171
San Remo,67
Halekulani,66
Tumbi Umbi,268
Charmhaven,55
Yarramalong,440
Mannering Park,92
Fountaindale,375
Gwandalan,156
The Entrance,34
Norah Head,52
Kangy Angy,300
Wadalba,333
Wyong,30
Bathurst,350
Oberon,160
Condobolin,129
Cowra,166
Forbes,132
Grenfell,139
Parkes (NSW),126
Parkes,117
West Wyalong,190
Lithgow,169
Mudgee,193
Blayney,222
Orange,339
Grafton,72
Iluka,87
Bellingen,173
Coffs Harbour,119
Bucca,271
Dorrigo,75
Emerald Beach,362
Boambee,164
Urunga,120
Arrawarra,134
Brewarrina,42
Cobar,155
Coonamble,47
Warren,95
Lightning Ridge,13
Broken Hill,33
Far West,27
Coonabarabran,59
Dubbo,355
Gilgandra,70
Narromine,94
Wellington,39
Pokolbin,308
Cessnock,228
Dungog,237
Abermain,40
Singleton,336
Maitland,216
Millers Forest,360
Anna Bay,250
Tanilba Bay,125
Nelson Bay Peninsula,246
Raymond Terrace,44
Woodville,421
Hawks Nest,172
Karuah,309
Muswellbrook,269
Scone,197
Windang,14
Avondale,150
Kembla Grange,386
Mount Kembla,305
Macquarie Pass,319
Albion Park Rail,89
Kiama,366
Minnamurra,411
Gerringong,406
Flinders,380
Oak Flats,212
Warilla,28
Fairy Meadow,274
Bellambi,124
Keiraville,379
Helensburgh,434
Coalcliff,439
Wollongong,251
Russell Vale,323
Stroud,102
Forster-Tuncurry,93
Tuncurry,21
Kempsey,65
Scotts Head,37
Nambucca Heads,90
South West Rocks,88
Lord Howe Island,301
Bonny Hills,148
Port Macquarie,224
Wauchope,137
Gloucester,136
Red Head,230
Taree,98
Wingham,22
Albury,270
Lavington,60
Hay,80
Buronga,146
Wentworth-Balranald,161
Corowa,177
Deniliquin,226
Moama,221
Jerilderie,145
Armidale,272
Walcha,209
Glen Innes,73
Inverell,115
Tenterfield,63
Moree,181
Narrabri,187
Gunnedah,185
Quirindi,69
Tamworth,213
Bennetts Green,261
Blacksmiths,85
Dudley,293
Hillsborough,294
Windale,17
Redhead,351
Caves Beach,207
Eleebana,453
Boolaroo,303
Teralba,76
Silverwater,256
Cameron Park,279
Cooranbong,214
Awaba,198
Rathmines,312
Killingworth,183
Kotara,377
Hexham,25
Broadmeadow,229
New Lambton,324
Minmi,347
Warabrook,159
The Junction,429
Cooks Hill,394
Kooragang,235
Jesmond,103
Fullerton Cove,147
Elermore Vale,203
Waratah Lambton,179
Tighes Hill,236
Ballina,298
Bangalow,344
Ocean Shores,174
Byron Bay,276
Evans Head,58
Skennars Head,395
Mullumbimby,191
Casino,68
Goonellabah,178
Kyogle,56
Lismore,266
Fingal Head,245
Murwillumbah,200
Pottsville,218
Tweed Heads,165
Griffith (NSW),127
Griffith,219
Leeton,141
Narrandera,71
Tumbarumba,151
Tumut,188
Cootamundra,109
Gundagai,149
Junee,112
Temora,130
Wagga Wagga,291
Kangaroo Valley,328
Currarong,182
Culburra Beach,118
Vincentia,304
Bomaderry,227
Nowra,62
Erowal Bay,54
Berrara,43
Woollamia,311
Ulladulla,199
Bowral,408
Colo Vale,281
Mittagong,267
Berrima,244
Fitzroy Falls,392
Southern Highlands,356
Baulkham Hills (East),461
Baulkham Hills (West) - Bella Vista,509
Castle Hill,499
Cherrybrook,500
Glenhaven,516
Kellyville,515
West Pennant Hills,520
Wisemans Ferry,474
Laughtondale,467
St Albans,310
Ebenezer,410
McGraths Hill,393
Beaumont Hills,512
Blacktown (East) - Kings Park,189
Blacktown (North) - Marayong,158
Blacktown (South),205
Woodcroft,186
Kings Langley,307
Toongabbie,280
Glenwood,487
Kellyville Ridge,514
Acacia Gardens,422
Marsden Park,201
Emerton,2
Glendenning Dean Park,248
Plumpton,263
Tregear,3
Whalan,12
Minchinbury,249
Botany,363
Mascotlakes,233
Daceyville,195
Marrickville,289
Stanmore,431
St Peters,388
Darlinghurst,443
Alexandria,479
Forest Lodge,385
Darlington,450
Woolloomooloo,398
Ultimo,407
Chippendale,337
Surry Hills,409
The Rocks,331
Beaconsfield,317
Bronte,469
Bondi Beach Bondi,463
Waverly,437
Bellevue Hill,497
Dover Heights,488
Moore Park,484
Watsons Bay,508
Woollahra,491
Clovelly,457
Kingsford,404
Chifley,332
Maroubra,387
Randwick,455
Bankstown,35
Georges Hall,128
Condell Park,176
Mount Lewis,86
Padstow,327
Picnic Point,374
Revesby,273
Birrong,74
Belfield,140
Canterbury (South) - Campsie,105
Kingsgrove (North) - Earlwood,341
Wiley Park,19
Punchbowl,26
Roselands,255
Hurstville,254
Penshurst,364
Beverly Hills,258
Hurstville Grove,448
Lugarno,400
Riverwood,24
Blakehurst,399
Bardwell Valley,277
Bexley,290
Kingsgrove (South) - Bardwell Park,335
Kogarah,315
Allawah,343
Brighton-le-Sands - Kyeemagh,297
Banksia,259
Ramsgate,354
Cabarita,447
Concord West Strathfield,442
Rodd Point,466
Abbotsford,426
Balmain,481
Annandale,459
Rozelle,472
Ashfield,314
Croydon,342
Canterbury (North) - Ashbury,357
Enfield,340
Lewisham,378
Summer Hill,420
Homebush,334
Strathfield,415
Chatswood (East) - Artarmon,430
Chatswood (West) - Lane Cove North,476
Greenwich,511
Naremburn,492
Castle Covebridge,504
Mount Colah,465
Cowan,470
Waitara,403
Thornleighleigh,482
Killara,510
Roseville,517
Pymble,518
St Ives,521
Turramurra,513
Warrawee,519
Cammeray,501
Waverton,493
Mosman,506
Kirribilli,478
Lavender Bay,496
Seaforth,507
Fairlight,477
Palm Beach,485
Elanora Heights,489
Bilgola,494
Mona Vale,462
Narraweena,416
Cromer,458
Dee Why Curl Curl,405
Killarney Heights,486
Belrose,505
Brookvale,460
Allambie Heights,449
Collaroy,445
Duffys Forest,490
Ellis Lane,401
Harrington Park,425
Currans Hill,417
Wedderburn,50
Woodbine,204
Raby,111
Denham Court,253
Minto Heights,217
Glenfield,77
St Andrews,154
Glen Alpine,196
Bargo,306
Appin,414
Buxton,299
Oakdale,390
Megalong Valley,257
Lapstone,444
Blue Mountains,349
Leura,220
Linden,346
Winmalee,412
Wentworth Falls,329
