Suburb,Rank,lat,lon
Goulburn,284,-34.7523871,149.7198009
Yass,454,-34.8362784,148.9156645
Young,152,-34.3103512,148.2971801
Braidwood,287,-35.4415874,149.7994179
Karabar,295,-35.3752778,149.2308333
Queanbeyan,483,-35.3538856,149.2323111
Jerrabomberra,495,-35.3830556,149.2161111
Bombala,133,-36.9113175,149.2389375
Cooma,313,-36.23563,149.1264221
Berridale,365,-36.3652063,148.8266015
Batemans Bay,163,-35.7072183,150.178289
Tathra,153,-36.7284498,149.9850271
Tomakin,210,-35.784475,150.1434525
Wadbilliga,376,-36.220001,149.520004
Eden,23,-37.0640494,149.9035118
Tura Beach,234,-36.8628056,149.9244736
Tuross Head,131,-36.0594486,150.1381172
Bermagui,116,-36.4278621,150.0773955
Copacabana,432,-33.49,151.4344444
MacMasters Beach,389,-33.4975,151.4161111
Kulnura,345,-33.2316667,151.2177778
Green Point,348,-32.2492053,152.5175294
Springfield,215,-33.4233333,151.3677778
Kariong,353,-33.44,151.3011111
Picketts Valley,265,-33.4566667,151.4094444
Narara,318,-33.3955556,151.3355556
Lisarow,368,-33.3816667,151.3761111
Koolewong,338,-33.4658333,151.3183333
Davistown,352,-33.4816667,151.3594444
Terrigal Avoca,419,-33.448107,151.4463709
Patonga,122,-33.5504821,151.2729613
Forresters Beach,424,-33.4066667,151.4761111
Blackwall,100,-33.5025,151.3261111
Wyoming,202,-33.4066667,151.3594444
Killarney Vale,171,-33.365,151.4594444
San Remo,67,-33.2138889,151.5216667
Halekulani,66,-33.2191667,151.5511111
Tumbi Umbi,268,-33.365,151.4427778
Charmhaven,55,-33.2230209,151.5057999
Yarramalong,440,-33.2233333,151.2844444
Mannering Park,92,-33.1602778,151.54
Fountaindale,375,-33.34,151.3927778
Gwandalan,156,-33.1423958,151.5896522
The Entrance,34,-33.3483343,151.5011108
Norah Head,52,-33.2816667,151.5677778
Kangy Angy,300,-33.32,151.3997222
Wadalba,333,-33.2733333,151.4677778
Wyong,30,-33.2825132,151.4256691
Bathurst,350,-33.4180908,149.5785926
Oberon,160,-33.70415,149.8588
Condobolin,129,-33.0880805,147.1479606
Cowra,166,-33.8349393,148.6925158
Forbes,132,-33.384253,148.0096566
Grenfell,139,-33.8967902,148.160764
Parkes (NSW),126,-33.1368067,148.1754823
Parkes,117,-33.1368067,148.1754823
West Wyalong,190,-33.9247605,147.2051466
Lithgow,169,-33.481536,150.1564887
Mudgee,193,-32.5980702,149.5886383
Blayney,222,-33.5327643,149.2552706
Orange,339,-33.2820463,149.0971567
Grafton,72,-29.6907727,152.9336591
Iluka,87,-29.4075069,153.3512396
Bellingen,173,-30.4510473,152.8970754
Coffs Harbour,119,-30.2962407,153.1135293
Bucca,271,-30.1469444,153.0941667
Dorrigo,75,-30.3399677,152.7120341
Emerald Beach,362,-30.1694411,153.1880565
Boambee,164,-30.3316667,153.0844444
Urunga,120,-30.4983386,153.0166289
Arrawarra,134,-30.0511111,153.1911111
Brewarrina,42,-29.9569044,146.860591
Cobar,155,-31.4983333,145.8344444
Coonamble,47,-30.958072,148.3872528
Warren,95,-31.7003539,147.8373918
Lightning Ridge,13,-29.434066,147.9769574
Broken Hill,33,-31.9605303,141.4579038
Far West,27,-30.3321766,147.4174683
Coonabarabran,59,-31.2728076,149.2733225
Dubbo,355,-32.2478964,148.6026502
Gilgandra,70,-31.7114096,148.6674105
Narromine,94,-32.2319958,148.2391867
Wellington,39,-32.5542815,148.9515327
Pokolbin,308,-32.9282649,151.7351732
