Australian Bureau of Statistics,,,,,,,,,
1270055006C001 Statistical Area Level 1 2011 to Local Government Area 2011,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,QI_INDICATOR,,,,,,,
,,,,,,,,,
10050,Albury (C),Good,,,,,,,
10110,Armidale Dumaresq (A),Good,,,,,,,
10150,Ashfield (A),Good,,,,,,,
10200,Auburn (C),Good,,,,,,,
10250,Ballina (A),Good,,,,,,,
10300,Balranald (A),Good,,,,,,,
10350,Bankstown (C),Good,,,,,,,
10470,Bathurst Regional (A),Good,,,,,,,
10550,Bega Valley (A),Good,,,,,,,
10600,Bellingen (A),Good,,,,,,,
10650,Berrigan (A),Good,,,,,,,
10750,Blacktown (C),Good,,,,,,,
10800,Bland (A),Good,,,,,,,
10850,Blayney (A),Good,,,,,,,
10900,Blue Mountains (C),Good,,,,,,,
10950,Bogan (A),Good,,,,,,,
11000,Bombala (A),Good,,,,,,,
11050,Boorowa (A),Good,,,,,,,
11100,Botany Bay (C),Good,,,,,,,
11150,Bourke (A),Good,,,,,,,
11200,Brewarrina (A),Good,,,,,,,
11250,Broken Hill (C),Good,,,,,,,
11300,Burwood (A),Good,,,,,,,
11350,Byron (A),Good,,,,,,,
11400,Cabonne (A),Good,,,,,,,
11450,Camden (A),Good,,,,,,,
11500,Campbelltown (C),Good,,,,,,,
11520,Canada Bay (A),Good,,,,,,,
11550,Canterbury (C),Good,,,,,,,
11600,Carrathool (A),Good,,,,,,,
11700,Central Darling (A),Good,,,,,,,
11720,Cessnock (C),Good,,,,,,,
11730,Clarence Valley (A),Good,,,,,,,
11750,Cobar (A),Good,,,,,,,
11800,Coffs Harbour (C),Good,,,,,,,
11860,Conargo (A),Good,,,,,,,
12000,Coolamon (A),Good,,,,,,,
12050,Cooma-Monaro (A),Good,,,,,,,
12150,Coonamble (A),Good,,,,,,,
12200,Cootamundra (A),Good,,,,,,,
12300,Corowa Shire (A),Good,,,,,,,
12350,Cowra (A),Good,,,,,,,
12500,Deniliquin (A),Good,,,,,,,
12600,Dubbo (C),Good,,,,,,,
12700,Dungog (A),Good,,,,,,,
12750,Eurobodalla (A),Good,,,,,,,
12850,Fairfield (C),Good,,,,,,,
12900,Forbes (A),Good,,,,,,,
12950,Gilgandra (A),Good,,,,,,,
13010,Glen Innes Severn (A),Good,,,,,,,
13050,Gloucester (A),Good,,,,,,,
13100,Gosford (C),Good,,,,,,,
13310,Goulburn Mulwaree (A),Good,,,,,,,
13320,Great Lakes (A),Good,,,,,,,
13340,Greater Hume Shire (A),Good,,,,,,,
13380,Greater Taree (C),Good,,,,,,,
13450,Griffith (C),Good,,,,,,,
13500,Gundagai (A),Good,,,,,,,
13550,Gunnedah (A),Good,,,,,,,
13650,Guyra (A),Good,,,,,,,
13660,Gwydir (A),Good,,,,,,,
13700,Harden (A),Good,,,,,,,
13800,Hawkesbury (C),Good,,,,,,,
13850,Hay (A),Good,,,,,,,
13950,Holroyd (C),Good,,,,,,,
14000,Hornsby (A),Good,,,,,,,
14100,Hunters Hill (A),Good,,,,,,,
14150,Hurstville (C),Good,,,,,,,
14200,Inverell (A),Good,,,,,,,
14250,Jerilderie (A),Good,,,,,,,
14300,Junee (A),Good,,,,,,,
14350,Kempsey (A),Good,,,,,,,
14400,Kiama (A),Good,,,,,,,
14450,Kogarah (C),Good,,,,,,,
14500,Ku-ring-gai (A),Good,,,,,,,
14550,Kyogle (A),Good,,,,,,,
14600,Lachlan (A),Good,,,,,,,
14650,Lake Macquarie (C),Good,,,,,,,
14700,Lane Cove (A),Good,,,,,,,
14750,Leeton (A),Good,,,,,,,
14800,Leichhardt (A),Good,,,,,,,
14850,Lismore (C),Good,,,,,,,
14870,Lithgow (C),Good,,,,,,,
14900,Liverpool (C),Good,,,,,,,
14920,Liverpool Plains (A),Good,,,,,,,
14950,Lockhart (A),Good,,,,,,,
15050,Maitland (C),Good,,,,,,,
15150,Manly (A),Good,,,,,,,
15200,Marrickville (A),Good,,,,,,,
15270,Mid-Western Regional (A),Good,,,,,,,
15300,Moree Plains (A),Good,,,,,,,
15350,Mosman (A),Good,,,,,,,
15500,Murray (A),Good,,,,,,,
15550,Murrumbidgee (A),Good,,,,,,,
15650,Muswellbrook (A),Good,,,,,,,
15700,Nambucca (A),Good,,,,,,,
15750,Narrabri (A),Good,,,,,,,
15800,Narrandera (A),Good,,,,,,,
15850,Narromine (A),Good,,,,,,,
15900,Newcastle (C),Good,,,,,,,
15950,North Sydney (A),Good,,,,,,,
16100,Oberon (A),Good,,,,,,,
16150,Orange (C),Good,,,,,,,
16180,Palerang (A),Good,,,,,,,
16200,Parkes (A),Good,,,,,,,
16250,Parramatta (C),Good,,,,,,,
16350,Penrith (C),Good,,,,,,,
16370,Pittwater (A),Good,,,,,,,
16380,Port Macquarie-Hastings (A),Good,,,,,,,
16400,Port Stephens (A),Good,,,,,,,
16470,Queanbeyan (C),Good,,,,,,,
16550,Randwick (C),Good,,,,,,,
16610,Richmond Valley (A),Good,,,,,,,
16650,Rockdale (C),Good,,,,,,,
16700,Ryde (C),Good,,,,,,,
16900,Shellharbour (C),Good,,,,,,,
16950,Shoalhaven (C),Good,,,,,,,
17000,Singleton (A),Good,,,,,,,
17050,Snowy River (A),Good,,,,,,,
17100,Strathfield (A),Good,,,,,,,
17150,Sutherland Shire (A),Good,,,,,,,
17200,Sydney (C),Good,,,,,,,
17310,Tamworth Regional (A),Good,,,,,,,
17350,Temora (A),Good,,,,,,,
17400,Tenterfield (A),Good,,,,,,,
17420,The Hills Shire (A),Good,,,,,,,
17450,Tumbarumba (A),Good,,,,,,,
17500,Tumut Shire (A),Good,,,,,,,
17550,Tweed (A),Good,,,,,,,
17620,Upper Hunter Shire (A),Good,,,,,,,
17640,Upper Lachlan Shire (A),Good,,,,,,,
17650,Uralla (A),Good,,,,,,,
17700,Urana (A),Good,,,,,,,
17750,Wagga Wagga (C),Good,,,,,,,
17800,Wakool (A),Good,,,,,,,
17850,Walcha (A),Good,,,,,,,
17900,Walgett (A),Good,,,,,,,
17950,Warren (A),Good,,,,,,,
18000,Warringah (A),Good,,,,,,,
18020,Warrumbungle Shire (A),Good,,,,,,,
18050,Waverley (A),Good,,,,,,,
18100,Weddin (A),Good,,,,,,,
18150,Wellington (A),Good,,,,,,,
18200,Wentworth (A),Good,,,,,,,
18250,Willoughby (C),Good,,,,,,,
18350,Wingecarribee (A),Good,,,,,,,
18400,Wollondilly (A),Good,,,,,,,
18450,Wollongong (C),Good,,,,,,,
18500,Woollahra (A),Good,,,,,,,
18550,Wyong (A),Good,,,,,,,
18710,Yass Valley (A),Good,,,,,,,
18750,Young (A),Good,,,,,,,
19399,Unincorporated NSW,Good,,,,,,,
20110,Alpine (S),Good,,,,,,,
20260,Ararat (RC),Good,,,,,,,
20570,Ballarat (C),Good,,,,,,,
20660,Banyule (C),Good,,,,,,,
20740,Bass Coast (S),Good,,,,,,,
