Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Inner Sydney,Botany Bay,Homicide,Attempted murder,6
Inner Sydney,Botany Bay,Homicide,"Murder accessory, conspiracy",3
Inner Sydney,Botany Bay,Homicide,Manslaughter (a),0
Inner Sydney,Botany Bay,Assault,Domestic violence related assault,2968
Inner Sydney,Botany Bay,Assault,Non-domestic violence related assault,5251
Inner Sydney,Botany Bay,Assault,Assault Police,236
Inner Sydney,Botany Bay,Sexual offences,Sexual assault,332
Inner Sydney,Botany Bay,Sexual offences,"Indecent assault, act of indecency and other sexual offences",615
Inner Sydney,Botany Bay,Abduction and kidnapping,,51
Inner Sydney,Botany Bay,Robbery,Robbery without a weapon,743
Inner Sydney,Botany Bay,Robbery,Robbery with a firearm,140
Inner Sydney,Botany Bay,Robbery,Robbery with a weapon not a firearm,376
Inner Sydney,Botany Bay,Blackmail and extortion,,17
Inner Sydney,Botany Bay,"Harassment, threatening behaviour and private nuisance",,2707
Inner Sydney,Botany Bay,Other offences against the person,,186
Inner Sydney,Botany Bay,Theft,Break and enter dwelling,5094
Inner Sydney,Botany Bay,Theft,Break and enter non-dwelling,4029
Inner Sydney,Botany Bay,Theft,Receiving or handling stolen goods,1281
Inner Sydney,Botany Bay,Theft,Motor vehicle theft,6825
Inner Sydney,Botany Bay,Theft,Steal from motor vehicle,8867
Inner Sydney,Botany Bay,Theft,Steal from retail store,6382
Inner Sydney,Botany Bay,Theft,Steal from dwelling,2393
Inner Sydney,Botany Bay,Theft,Steal from person,3755
Inner Sydney,Botany Bay,Theft,Stock theft,7
Inner Sydney,Botany Bay,Theft,Fraud,9234
Inner Sydney,Botany Bay,Theft,Other theft,13856
Inner Sydney,Botany Bay,Arson,,395
Inner Sydney,Botany Bay,Malicious damage to property,,12354
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of cocaine,57
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of narcotics,85
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of cannabis,1406
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of amphetamines,336
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of ecstasy,80
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of other drugs,215
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in cocaine",39
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in narcotics",75
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in cannabis",85
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in amphetamines",86
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in ecstasy",24
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in other drugs",16
Inner Sydney,Botany Bay,Drug offences,Cultivating cannabis,74
Inner Sydney,Botany Bay,Drug offences,Manufacture drug,13
Inner Sydney,Botany Bay,Drug offences,Importing drugs,278
Inner Sydney,Botany Bay,Drug offences,Other drug offences,659
Inner Sydney,Botany Bay,Prohibited and regulated weapons offences,,1133
Inner Sydney,Botany Bay,Disorderly conduct,Trespass,744
Inner Sydney,Botany Bay,Disorderly conduct,Offensive conduct,318
Inner Sydney,Botany Bay,Disorderly conduct,Offensive language,315
Inner Sydney,Botany Bay,Disorderly conduct,Criminal intent,217
Inner Sydney,Botany Bay,Betting and gaming offences,,19
Inner Sydney,Botany Bay,Liquor offences,,550
Inner Sydney,Botany Bay,Pornography offences,,20
Inner Sydney,Botany Bay,Prostitution offences,,5
Inner Sydney,Botany Bay,Against justice procedures,Escape custody,23
Inner Sydney,Botany Bay,Against justice procedures,Breach Apprehended Violence Order,1381
Inner Sydney,Botany Bay,Against justice procedures,Breach bail conditions,2281
Inner Sydney,Botany Bay,Against justice procedures,Fail to appear,226
Inner Sydney,Botany Bay,Against justice procedures,Resist or hinder officer,516
Inner Sydney,Botany Bay,Against justice procedures,Other offences against justice procedures,227
Inner Sydney,Botany Bay,Transport regulatory offences,,762
Inner Sydney,Botany Bay,Other offences,,2966
Inner Sydney,Leichhardt,Homicide,Murder (a),20
Inner Sydney,Leichhardt,Homicide,Attempted murder,13
Inner Sydney,Leichhardt,Homicide,"Murder accessory, conspiracy",0
Inner Sydney,Leichhardt,Homicide,Manslaughter (a),0
Inner Sydney,Leichhardt,Assault,Domestic violence related assault,2558
Inner Sydney,Leichhardt,Assault,Non-domestic violence related assault,5720
Inner Sydney,Leichhardt,Assault,Assault Police,324
Inner Sydney,Leichhardt,Sexual offences,Sexual assault,344
Inner Sydney,Leichhardt,Sexual offences,"Indecent assault, act of indecency and other sexual offences",670
Inner Sydney,Leichhardt,Abduction and kidnapping,,33
Inner Sydney,Leichhardt,Robbery,Robbery without a weapon,817
Inner Sydney,Leichhardt,Robbery,Robbery with a firearm,269
Inner Sydney,Leichhardt,Robbery,Robbery with a weapon not a firearm,598
Inner Sydney,Leichhardt,Blackmail and extortion,,13
Inner Sydney,Leichhardt,"Harassment, threatening behaviour and private nuisance",,2976
Inner Sydney,Leichhardt,Other offences against the person,,169
Inner Sydney,Leichhardt,Theft,Break and enter dwelling,13167
Inner Sydney,Leichhardt,Theft,Break and enter non-dwelling,4786
Inner Sydney,Leichhardt,Theft,Receiving or handling stolen goods,1024
Inner Sydney,Leichhardt,Theft,Motor vehicle theft,10787
Inner Sydney,Leichhardt,Theft,Steal from motor vehicle,19468
Inner Sydney,Leichhardt,Theft,Steal from retail store,2686
Inner Sydney,Leichhardt,Theft,Steal from dwelling,5082
Inner Sydney,Leichhardt,Theft,Steal from person,2077
Inner Sydney,Leichhardt,Theft,Stock theft,9
Inner Sydney,Leichhardt,Theft,Fraud,6261
Inner Sydney,Leichhardt,Theft,Other theft,8045
Inner Sydney,Leichhardt,Arson,,447
Inner Sydney,Leichhardt,Malicious damage to property,,16223
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of cocaine,81
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of narcotics,80
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of cannabis,1096
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of amphetamines,143
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of ecstasy,92
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of other drugs,120
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in cocaine",31
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in narcotics",43
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in cannabis",58
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in amphetamines",56
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in ecstasy",29
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in other drugs",8
Inner Sydney,Leichhardt,Drug offences,Cultivating cannabis,54
Inner Sydney,Leichhardt,Drug offences,Manufacture drug,8
Inner Sydney,Leichhardt,Drug offences,Importing drugs,1
Inner Sydney,Leichhardt,Drug offences,Other drug offences,315
Inner Sydney,Leichhardt,Prohibited and regulated weapons offences,,646
Inner Sydney,Leichhardt,Disorderly conduct,Trespass,914
Inner Sydney,Leichhardt,Disorderly conduct,Offensive conduct,560
Inner Sydney,Leichhardt,Disorderly conduct,Offensive language,472
Inner Sydney,Leichhardt,Disorderly conduct,Criminal intent,427
Inner Sydney,Leichhardt,Betting and gaming offences,,70
Inner Sydney,Leichhardt,Liquor offences,,1266
Inner Sydney,Leichhardt,Pornography offences,,17
Inner Sydney,Leichhardt,Prostitution offences,,6
